,OPEN,HIGH,LOW,CLOSE,VOLUME,AMT
2016-05-03 00:00:00.005,10.58,10.72,10.52,10.68,48910210.0,521137502.4
2016-05-04 00:00:00.005,10.68,10.75,10.66,10.72,41243559.0,441848167.7
2016-05-05 00:00:00.005,10.69,10.72,10.65,10.72,23951683.0,256002095.9
2016-05-06 00:00:00.005,10.73,10.73,10.52,10.52,34654514.0,367408584.5
2016-05-09 00:00:00.005,10.5,10.53,10.32,10.35,41117102.0,428356624.1
2016-05-10 00:00:00.005,10.34,10.37,10.27,10.28,29259978.0,301767208.0
2016-05-11 00:00:00.005,10.3,10.44,10.3,10.37,32728951.0,339005275.8
2016-05-12 00:00:00.005,10.31,10.4,10.25,10.38,32588550.0,336792700.6
2016-05-13 00:00:00.005,10.35,10.4,10.33,10.35,18426611.0,191007255.7
2016-05-16 00:00:00.005,10.32,10.36,10.25,10.36,21522468.0,221931208.1
2016-05-17 00:00:00.005,10.36,10.37,10.24,10.3,25042422.0,257859629.0
2016-05-18 00:00:00.005,10.29,10.32,10.17,10.3,53415062.0,547076639.4
2016-05-19 00:00:00.005,10.27,10.32,10.25,10.25,17077776.0,175591500.4
2016-05-20 00:00:00.005,10.24,10.33,10.19,10.3,20670377.0,212277642.0
2016-05-23 00:00:00.005,10.33,10.34,10.25,10.28,32364676.0,333300178.5
2016-05-24 00:00:00.005,10.27,10.28,10.19,10.21,25929404.0,265042286.9
2016-05-25 00:00:00.005,10.25,10.28,10.19,10.23,20423540.0,209019882.0
2016-05-26 00:00:00.005,10.22,10.27,10.17,10.22,26139653.0,266736775.8
2016-05-27 00:00:00.005,10.22,10.29,10.19,10.27,22281892.0,228377555.0
2016-05-30 00:00:00.005,10.25,10.28,10.2,10.28,38094687.0,390119748.2
2016-05-31 00:00:00.005,10.26,10.57,10.26,10.55,94646716.0,991668174.8
2016-06-01 00:00:00.005,10.51,10.55,10.44,10.48,55675091.0,584161145.1
2016-06-02 00:00:00.005,10.47,10.48,10.42,10.46,29303622.0,306269383.4
2016-06-03 00:00:00.005,10.47,10.52,10.41,10.5,42338929.0,443039581.0
2016-06-06 00:00:00.005,10.51,10.53,10.45,10.51,33833201.0,354998364.1
2016-06-07 00:00:00.005,10.52,10.53,10.48,10.52,22928215.0,240887148.7
2016-06-08 00:00:00.005,10.54,10.54,10.46,10.5,26818824.0,281651740.9
2016-06-13 00:00:00.005,10.46,10.47,10.33,10.33,34481683.0,358996277.5
2016-06-14 00:00:00.005,10.34,10.41,10.32,10.4,27363726.0,283578296.5
2016-06-15 00:00:00.005,10.33,10.48,10.32,10.44,37817241.0,394033686.1
2016-06-16 00:00:00.005,8.57,8.6,8.53,8.57,38667008.0,331192444.7
2016-06-17 00:00:00.005,8.57,8.61,8.54,8.58,31517300.0,270236698.0
2016-06-20 00:00:00.005,8.59,8.6,8.56,8.6,27073158.0,232205297.9
2016-06-21 00:00:00.005,8.61,8.65,8.58,8.61,38074985.0,327940703.4
2016-06-22 00:00:00.005,8.6,8.73,8.58,8.73,47800201.0,413947368.6
2016-06-23 00:00:00.005,8.67,8.7,8.63,8.66,33561422.0,290490407.0
2016-06-24 00:00:00.005,8.64,8.7,8.52,8.57,42766409.0,367771053.9
2016-06-27 00:00:00.005,8.57,8.64,8.54,8.61,32521418.0,280044073.2
2016-06-28 00:00:00.005,8.58,8.64,8.56,8.63,33651928.0,289122214.0
2016-06-29 00:00:00.005,8.63,8.69,8.62,8.69,36961156.0,319908689.6
2016-06-30 00:00:00.005,8.69,8.74,8.66,8.7,36220487.0,315051854.7
2016-07-01 00:00:00.005,8.69,8.73,8.68,8.71,34893019.0,303652375.3
2016-07-04 00:00:00.005,8.69,8.86,8.67,8.81,60825712.0,534656909.6
2016-07-05 00:00:00.005,8.8,8.83,8.77,8.81,42203729.0,371422814.8
2016-07-06 00:00:00.005,8.8,8.82,8.76,8.79,32295017.0,283827375.8
2016-07-07 00:00:00.005,8.79,8.8,8.74,8.78,31285308.0,274337185.8
2016-07-08 00:00:00.005,8.79,8.79,8.73,8.74,26134229.0,228778674.1
2016-07-11 00:00:00.005,8.75,8.79,8.74,8.75,36537252.0,320333760.7
2016-07-12 00:00:00.005,8.75,8.89,8.74,8.88,71183240.0,627505578.4
2016-07-13 00:00:00.005,8.88,9.05,8.86,8.99,79828864.0,716797025.3
2016-07-14 00:00:00.005,8.97,9.0,8.91,8.94,35969939.0,321889343.3
2016-07-15 00:00:00.005,8.95,9.0,8.91,8.99,35203395.0,315555253.5
2016-07-18 00:00:00.005,8.99,9.08,8.97,9.04,50693492.0,457358031.4
2016-07-19 00:00:00.005,9.04,9.05,8.95,8.97,36278781.0,326046531.0
2016-07-20 00:00:00.005,8.96,8.99,8.95,8.96,31092641.0,278737194.1
2016-07-21 00:00:00.005,8.95,9.01,8.95,8.99,34026127.0,305710332.8
2016-07-22 00:00:00.005,8.99,8.99,8.92,8.94,29554964.0,264379250.4
2016-07-25 00:00:00.005,8.93,8.98,8.91,8.98,26468286.0,236937494.1
2016-07-26 00:00:00.005,8.97,9.12,8.97,9.11,54655692.0,494506420.1
2016-07-27 00:00:00.005,9.12,9.17,8.91,9.01,81867834.0,741263303.0
2016-07-28 00:00:00.005,8.98,9.11,8.97,9.08,47991038.0,434490536.6
2016-07-29 00:00:00.005,9.08,9.24,9.03,9.2,67142534.0,614972669.3
2016-08-01 00:00:00.005,9.18,9.34,9.17,9.28,75932441.0,702466616.0
2016-08-02 00:00:00.005,9.24,9.26,9.17,9.25,44916516.0,413484595.1
2016-08-03 00:00:00.005,9.21,9.22,9.15,9.18,42462218.0,389817535.1
2016-08-04 00:00:00.005,9.17,9.18,8.93,8.99,134446207.0,1210346973.6
2016-08-05 00:00:00.005,8.99,9.07,8.95,9.04,72594819.0,654998092.9
2016-08-08 00:00:00.005,9.04,9.11,9.01,9.11,39847930.0,361191045.3
2016-08-09 00:00:00.005,9.09,9.15,9.07,9.15,41567631.0,378720688.3
2016-08-10 00:00:00.005,9.15,9.18,9.12,9.14,43665545.0,399656990.6
2016-08-11 00:00:00.005,9.14,9.35,9.13,9.22,93557601.0,866594867.9
2016-08-12 00:00:00.005,9.2,9.53,9.18,9.5,137002155.0,1282336292.0
2016-08-15 00:00:00.005,9.55,9.8,9.51,9.68,189755226.0,1835196865.6
2016-08-16 00:00:00.005,9.68,9.68,9.46,9.52,109955862.0,1050479545.3
2016-08-17 00:00:00.005,9.52,9.6,9.48,9.55,56072536.0,534926047.0
2016-08-18 00:00:00.005,9.56,9.59,9.43,9.5,69150431.0,658183955.0
2016-08-19 00:00:00.005,9.49,9.52,9.43,9.51,50533453.0,478779724.2
2016-08-22 00:00:00.005,9.5,9.51,9.36,9.4,97943273.0,922426435.1
2016-08-23 00:00:00.005,9.38,9.45,9.37,9.4,89065673.0,838185900.6
2016-08-24 00:00:00.005,9.41,9.43,9.38,9.43,73228127.0,688971683.1
2016-08-25 00:00:00.005,9.42,9.45,9.34,9.44,61738960.0,580648481.9
2016-08-26 00:00:00.005,9.45,9.47,9.4,9.45,50223385.0,473688076.6
